Port Name,State,Port Code,Border,Date,Measure,Value,Location
Calexico East,California,2507,US-Mexico Border,3/1/2019 0:00,Trucks,34447,POINT (-115.48433000000001 32.67524)
Van Buren,Maine,108,US-Canada Border,3/1/2019 0:00,Rail Containers Full,428,POINT (-67.94271 47.16207)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Trucks,81217,POINT (-117.05333 32.57333)
Nogales,Arizona,2604,US-Mexico Border,3/1/2019 0:00,Trains,62,POINT (-110.93361 31.340279999999996)
Trout River,New York,715,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,16377,POINT (-73.44253 44.990010000000005)
Madawaska,Maine,109,US-Canada Border,3/1/2019 0:00,Trucks,179,POINT (-68.3271 47.35446)
Champlain-Rouses Point,New York,712,US-Canada Border,3/1/2019 0:00,Trucks,24759,POINT (-73.44694 44.98639)
Opheim,Montana,3317,US-Canada Border,3/1/2019 0:00,Personal Vehicles,235,POINT (-106.40265 48.85574)
Lancaster,Minnesota,3430,US-Canada Border,3/1/2019 0:00,Personal Vehicles,1612,POINT (-96.82024 48.84911000000001)
Wildhorse,Montana,3323,US-Canada Border,3/1/2019 0:00,Truck Containers Full,122,POINT (-109.67761 48.54863)
Vanceboro,Maine,105,US-Canada Border,3/1/2019 0:00,Pedestrians,3,POINT (-67.42955 45.55984)
San Ysidro,California,2504,US-Mexico Border,3/1/2019 0:00,Bus Passengers,7779,POINT (-117.02666999999998 32.54306)
Scobey,Montana,3309,US-Canada Border,3/1/2019 0:00,Personal Vehicles,325,POINT (-105.44272 48.80707)
Calais,Maine,115,US-Canada Border,3/1/2019 0:00,Train Passengers,30,POINT (-67.27917 45.18889)
Massena,New York,704,US-Canada Border,3/1/2019 0:00,Truck Containers Full,1489,POINT (-74.74 44.98944)
Tecate,California,2505,US-Mexico Border,3/1/2019 0:00,Truck Containers Empty,1993,POINT (-116.62667 32.57722)
Eastport,Idaho,3302,US-Canada Border,3/1/2019 0:00,Trains,101,POINT (-116.18027999999998 48.99944)
Calais,Maine,115,US-Canada Border,3/1/2019 0:00,Trains,15,POINT (-67.27917 45.18889)
Naco,Arizona,2603,US-Mexico Border,3/1/2019 0:00,Truck Containers Empty,139,POINT (-109.9475 31.335280000000004)
Raymond,Montana,3301,US-Canada Border,3/1/2019 0:00,Buses,1,POINT (-104.575 48.99667)
Porthill,Idaho,3308,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,282,POINT (-116.49828 48.99282)
Sault Sainte Marie,Michigan,3803,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,769,POINT (-84.29889 46.47028)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,573597,POINT (-117.05333 32.57333)
Eastport,Idaho,3302,US-Canada Border,3/1/2019 0:00,Pedestrians,200,POINT (-116.18027999999998 48.99944)
Sasabe,Arizona,2606,US-Mexico Border,3/1/2019 0:00,Personal Vehicle Passengers,4658,POINT (-111.54139 31.48861)
Sault Sainte Marie,Michigan,3803,US-Canada Border,3/1/2019 0:00,Truck Containers Full,3362,POINT (-84.29889 46.47028)
Madawaska,Maine,109,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,44387,POINT (-68.3271 47.35446)
Sasabe,Arizona,2606,US-Mexico Border,3/1/2019 0:00,Pedestrians,23,POINT (-111.54139 31.48861)
Del Bonita,Montana,3322,US-Canada Border,3/1/2019 0:00,Truck Containers Full,39,POINT (-112.32481 48.63274)
Vanceboro,Maine,105,US-Canada Border,3/1/2019 0:00,Personal Vehicles,1476,POINT (-67.42955 45.55984)
Houlton,Maine,106,US-Canada Border,3/1/2019 0:00,Truck Containers Full,5778,POINT (-67.84083 46.12611)
Houlton,Maine,106,US-Canada Border,3/1/2019 0:00,Bus Passengers,669,POINT (-67.84083 46.12611)
Houlton,Maine,106,US-Canada Border,3/1/2019 0:00,Personal Vehicles,15491,POINT (-67.84083 46.12611)
Sault Sainte Marie,Michigan,3803,US-Canada Border,3/1/2019 0:00,Personal Vehicles,48965,POINT (-84.29889 46.47028)
Fort Fairfield,Maine,107,US-Canada Border,3/1/2019 0:00,Personal Vehicles,7165,POINT (-67.82965 46.76891)
Van Buren,Maine,108,US-Canada Border,3/1/2019 0:00,Personal Vehicles,11095,POINT (-67.94271 47.16207)
Massena,New York,704,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,491,POINT (-74.74 44.98944)
Douglas,Arizona,2601,US-Mexico Border,3/1/2019 0:00,Trucks,2175,POINT (-109.54472 31.344439999999995)
Port Huron,Michigan,3802,US-Canada Border,3/1/2019 0:00,Rail Containers Full,22879,POINT (-82.47889 42.97583)
Champlain-Rouses Point,New York,712,US-Canada Border,3/1/2019 0:00,Truck Containers Full,22955,POINT (-73.44694 44.98639)
Champlain-Rouses Point,New York,712,US-Canada Border,3/1/2019 0:00,Personal Vehicles,65555,POINT (-73.44694 44.98639)
Nogales,Arizona,2604,US-Mexico Border,3/1/2019 0:00,Truck Containers Empty,5928,POINT (-110.93361 31.340279999999996)
Scobey,Montana,3309,US-Canada Border,3/1/2019 0:00,Truck Containers Full,3,POINT (-105.44272 48.80707)
Del Bonita,Montana,3322,US-Canada Border,3/1/2019 0:00,Personal Vehicles,1540,POINT (-112.32481 48.63274)
Bridgewater,Maine,127,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,319,POINT (-67.84262 46.41923)
Santa Teresa,New Mexico,2408,US-Mexico Border,3/1/2019 0:00,Personal Vehicle Passengers,109340,POINT (-106.67903 31.850000000000005)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Buses,916,POINT (-117.05333 32.57333)
San Ysidro,California,2504,US-Mexico Border,3/1/2019 0:00,Buses,3329,POINT (-117.02666999999998 32.54306)
Nogales,Arizona,2604,US-Mexico Border,3/1/2019 0:00,Bus Passengers,17479,POINT (-110.93361 31.340279999999996)
Lukeville,Arizona,2602,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,46128,POINT (-112.81500000000001 31.8825)
Roseau,Minnesota,3426,US-Canada Border,3/1/2019 0:00,Personal Vehicles,2658,POINT (-95.81074 48.77518)
Skagway,Alaska,3103,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,3077,POINT (-135.30656 59.47196999999999)
Vanceboro,Maine,105,US-Canada Border,3/1/2019 0:00,Trains,28,POINT (-67.42955 45.55984)
Baudette,Minnesota,3424,US-Canada Border,3/1/2019 0:00,Bus Passengers,196,POINT (-94.72512 48.70731)
Fort Kent,Maine,110,US-Canada Border,3/1/2019 0:00,Bus Passengers,13,POINT (-68.58458 47.26878)
Grand Portage,Minnesota,3613,US-Canada Border,3/1/2019 0:00,Truck Containers Full,697,POINT (-89.68472000000001 47.96389)
Buffalo-Niagara Falls,New York,901,US-Canada Border,3/1/2019 0:00,Train Passengers,1099,POINT (-79.05694 43.09444)
Calexico,California,2503,US-Mexico Border,3/1/2019 0:00,Pedestrians,346158,POINT (-115.49806000000001 32.67889)
Massena,New York,704,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,118275,POINT (-74.74 44.98944)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Pedestrians,306812,POINT (-117.05333 32.57333)
Pinecreek,Minnesota,3425,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,14,POINT (-95.81074 48.77518)
Calexico East,California,2507,US-Mexico Border,3/1/2019 0:00,Truck Containers Full,20256,POINT (-115.48433000000001 32.67524)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Truck Containers Full,63197,POINT (-117.05333 32.57333)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Truck Containers Empty,22225,POINT (-117.05333 32.57333)
Douglas,Arizona,2601,US-Mexico Border,3/1/2019 0:00,Truck Containers Full,1639,POINT (-109.54472 31.344439999999995)
Grand Portage,Minnesota,3613,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,30064,POINT (-89.68472000000001 47.96389)
Port Huron,Michigan,3802,US-Canada Border,3/1/2019 0:00,Rail Containers Empty,16839,POINT (-82.47889 42.97583)
Santa Teresa,New Mexico,2408,US-Mexico Border,3/1/2019 0:00,Truck Containers Full,8698,POINT (-106.67903 31.850000000000005)
Trout River,New York,715,US-Canada Border,3/1/2019 0:00,Rail Containers Empty,682,POINT (-73.44253 44.990010000000005)
Calexico East,California,2507,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,285861,POINT (-115.48433000000001 32.67524)
Detroit,Michigan,3801,US-Canada Border,3/1/2019 0:00,Truck Containers Full,92794,POINT (-83.10222 42.38306000000001)
Jackman,Maine,104,US-Canada Border,3/1/2019 0:00,Buses,8,POINT (-70.255 45.62389)
Tecate,California,2505,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,92015,POINT (-116.62667 32.57722)
Skagway,Alaska,3103,US-Canada Border,3/1/2019 0:00,Personal Vehicles,1411,POINT (-135.30656 59.47196999999999)
Turner,Montana,3306,US-Canada Border,3/1/2019 0:00,Trucks,35,POINT (-108.40599 48.84361)
Fort Kent,Maine,110,US-Canada Border,3/1/2019 0:00,Buses,1,POINT (-68.58458 47.26878)
Porthill,Idaho,3308,US-Canada Border,3/1/2019 0:00,Trucks,310,POINT (-116.49828 48.99282)
Wildhorse,Montana,3323,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,1235,POINT (-109.67761 48.54863)
Bridgewater,Maine,127,US-Canada Border,3/1/2019 0:00,Personal Vehicles,3302,POINT (-67.84262 46.41923)
Buffalo-Niagara Falls,New York,901,US-Canada Border,3/1/2019 0:00,Trucks,77292,POINT (-79.05694 43.09444)
Sault Sainte Marie,Michigan,3803,US-Canada Border,3/1/2019 0:00,Train Passengers,62,POINT (-84.29889 46.47028)
Eastport,Idaho,3302,US-Canada Border,3/1/2019 0:00,Train Passengers,200,POINT (-116.18027999999998 48.99944)
Douglas,Arizona,2601,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,144173,POINT (-109.54472 31.344439999999995)
Vanceboro,Maine,105,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,12,POINT (-67.42955 45.55984)
Trout River,New York,715,US-Canada Border,3/1/2019 0:00,Personal Vehicles,8961,POINT (-73.44253 44.990010000000005)
Buffalo-Niagara Falls,New York,901,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,754845,POINT (-79.05694 43.09444)
Grand Portage,Minnesota,3613,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,302,POINT (-89.68472000000001 47.96389)
Alexandria Bay,New York,708,US-Canada Border,3/1/2019 0:00,Personal Vehicles,37199,POINT (-75.91806 44.33583)
Massena,New York,704,US-Canada Border,3/1/2019 0:00,Personal Vehicles,69627,POINT (-74.74 44.98944)
Jackman,Maine,104,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,12881,POINT (-70.255 45.62389)
Sweetgrass,Montana,3310,US-Canada Border,3/1/2019 0:00,Trains,32,POINT (-111.95972 48.99611000000001)
Trout River,New York,715,US-Canada Border,3/1/2019 0:00,Truck Containers Full,437,POINT (-73.44253 44.990010000000005)
Calais,Maine,115,US-Canada Border,3/1/2019 0:00,Rail Containers Full,18,POINT (-67.27917 45.18889)
Piegan,Montana,3316,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,8140,POINT (-113.43406 48.85152)
Jackman,Maine,104,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,5355,POINT (-70.255 45.62389)
Calexico East,California,2507,US-Mexico Border,3/1/2019 0:00,Train Passengers,21,POINT (-115.48433000000001 32.67524)
San Luis,Arizona,2608,US-Mexico Border,3/1/2019 0:00,Trucks,4511,POINT (-114.78139000000002 32.48694)
Nogales,Arizona,2604,US-Mexico Border,3/1/2019 0:00,Pedestrians,287660,POINT (-110.93361 31.340279999999996)
Warroad,Minnesota,3423,US-Canada Border,3/1/2019 0:00,Personal Vehicles,6657,POINT (-95.3261 48.89625)
Champlain-Rouses Point,New York,712,US-Canada Border,3/1/2019 0:00,Trains,70,POINT (-73.44694 44.98639)
Opheim,Montana,3317,US-Canada Border,3/1/2019 0:00,Trucks,18,POINT (-106.40265 48.85574)
Massena,New York,704,US-Canada Border,3/1/2019 0:00,Buses,269,POINT (-74.74 44.98944)
Roseau,Minnesota,3426,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,83,POINT (-95.81074 48.77518)
Wildhorse,Montana,3323,US-Canada Border,3/1/2019 0:00,Trucks,93,POINT (-109.67761 48.54863)
Van Buren,Maine,108,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,1251,POINT (-67.94271 47.16207)
Van Buren,Maine,108,US-Canada Border,3/1/2019 0:00,Rail Containers Empty,392,POINT (-67.94271 47.16207)
Naco,Arizona,2603,US-Mexico Border,3/1/2019 0:00,Personal Vehicle Passengers,48991,POINT (-109.9475 31.335280000000004)
Whitlash,Montana,3321,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,134,POINT (-111.24900000000001 48.90372)
Santa Teresa,New Mexico,2408,US-Mexico Border,3/1/2019 0:00,Trucks,9903,POINT (-106.67903 31.850000000000005)
Sweetgrass,Montana,3310,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,2148,POINT (-111.95972 48.99611000000001)
Turner,Montana,3306,US-Canada Border,3/1/2019 0:00,Pedestrians,5,POINT (-108.40599 48.84361)
Fort Fairfield,Maine,107,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,358,POINT (-67.82965 46.76891)
Port Huron,Michigan,3802,US-Canada Border,3/1/2019 0:00,Bus Passengers,3707,POINT (-82.47889 42.97583)
Calais,Maine,115,US-Canada Border,3/1/2019 0:00,Truck Containers Full,3230,POINT (-67.27917 45.18889)
Limestone,Maine,118,US-Canada Border,3/1/2019 0:00,Trucks,28,POINT (-67.82708 46.90941)
Grand Portage,Minnesota,3613,US-Canada Border,3/1/2019 0:00,Trucks,994,POINT (-89.68472000000001 47.96389)
Naco,Arizona,2603,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,28301,POINT (-109.9475 31.335280000000004)
Pinecreek,Minnesota,3425,US-Canada Border,3/1/2019 0:00,Truck Containers Full,5,POINT (-95.81074 48.77518)
Andrade,California,2502,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,50180,POINT (-114.63402 32.7394)
Vanceboro,Maine,105,US-Canada Border,3/1/2019 0:00,Rail Containers Full,1007,POINT (-67.42955 45.55984)
Calais,Maine,115,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,1637,POINT (-67.27917 45.18889)
Nogales,Arizona,2604,US-Mexico Border,3/1/2019 0:00,Trucks,35398,POINT (-110.93361 31.340279999999996)
Del Bonita,Montana,3322,US-Canada Border,3/1/2019 0:00,Pedestrians,2,POINT (-112.32481 48.63274)
Sweetgrass,Montana,3310,US-Canada Border,3/1/2019 0:00,Buses,8,POINT (-111.95972 48.99611000000001)
Nogales,Arizona,2604,US-Mexico Border,3/1/2019 0:00,Buses,840,POINT (-110.93361 31.340279999999996)
Champlain-Rouses Point,New York,712,US-Canada Border,3/1/2019 0:00,Pedestrians,140,POINT (-73.44694 44.98639)
Jackman,Maine,104,US-Canada Border,3/1/2019 0:00,Truck Containers Full,1764,POINT (-70.255 45.62389)
Wildhorse,Montana,3323,US-Canada Border,3/1/2019 0:00,Personal Vehicles,595,POINT (-109.67761 48.54863)
San Luis,Arizona,2608,US-Mexico Border,3/1/2019 0:00,Truck Containers Full,3797,POINT (-114.78139000000002 32.48694)
Piegan,Montana,3316,US-Canada Border,3/1/2019 0:00,Truck Containers Full,155,POINT (-113.43406 48.85152)
Trout River,New York,715,US-Canada Border,3/1/2019 0:00,Trains,50,POINT (-73.44253 44.990010000000005)
Eastport,Maine,103,US-Canada Border,3/1/2019 0:00,Trucks,165,POINT (-66.99387 44.90357)
International Falls-Ranier,Minnesota,3604,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,44153,POINT (-93.41083 48.60111)
Detroit,Michigan,3801,US-Canada Border,3/1/2019 0:00,Rail Containers Empty,3954,POINT (-83.10222 42.38306000000001)
Baudette,Minnesota,3424,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,489,POINT (-94.72512 48.70731)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Train Passengers,36,POINT (-117.05333 32.57333)
Port Huron,Michigan,3802,US-Canada Border,3/1/2019 0:00,Buses,196,POINT (-82.47889 42.97583)
Baudette,Minnesota,3424,US-Canada Border,3/1/2019 0:00,Buses,7,POINT (-94.72512 48.70731)
Douglas,Arizona,2601,US-Mexico Border,3/1/2019 0:00,Bus Passengers,575,POINT (-109.54472 31.344439999999995)
San Ysidro,California,2504,US-Mexico Border,3/1/2019 0:00,Personal Vehicle Passengers,2045733,POINT (-117.02666999999998 32.54306)
Houlton,Maine,106,US-Canada Border,3/1/2019 0:00,Trucks,7538,POINT (-67.84083 46.12611)
Trout River,New York,715,US-Canada Border,3/1/2019 0:00,Trucks,1031,POINT (-73.44253 44.990010000000005)
Roseau,Minnesota,3426,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,4657,POINT (-95.81074 48.77518)
Nogales,Arizona,2604,US-Mexico Border,3/1/2019 0:00,Truck Containers Full,30509,POINT (-110.93361 31.340279999999996)
San Ysidro,California,2504,US-Mexico Border,3/1/2019 0:00,Pedestrians,930046,POINT (-117.02666999999998 32.54306)
Calais,Maine,115,US-Canada Border,3/1/2019 0:00,Buses,3,POINT (-67.27917 45.18889)
Eastport,Maine,103,US-Canada Border,3/1/2019 0:00,Pedestrians,3,POINT (-66.99387 44.90357)
Buffalo-Niagara Falls,New York,901,US-Canada Border,3/1/2019 0:00,Pedestrians,10861,POINT (-79.05694 43.09444)
Detroit,Michigan,3801,US-Canada Border,3/1/2019 0:00,Bus Passengers,7141,POINT (-83.10222 42.38306000000001)
Columbus,New Mexico,2406,US-Mexico Border,3/1/2019 0:00,Personal Vehicle Passengers,64898,POINT (-107.63944 31.827499999999997)
Houlton,Maine,106,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,1779,POINT (-67.84083 46.12611)
Naco,Arizona,2603,US-Mexico Border,3/1/2019 0:00,Trucks,262,POINT (-109.9475 31.335280000000004)
Champlain-Rouses Point,New York,712,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,2674,POINT (-73.44694 44.98639)
Bridgewater,Maine,127,US-Canada Border,3/1/2019 0:00,Truck Containers Full,112,POINT (-67.84262 46.41923)
Grand Portage,Minnesota,3613,US-Canada Border,3/1/2019 0:00,Buses,59,POINT (-89.68472000000001 47.96389)
Champlain-Rouses Point,New York,712,US-Canada Border,3/1/2019 0:00,Rail Containers Full,4872,POINT (-73.44694 44.98639)
Sweetgrass,Montana,3310,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,25362,POINT (-111.95972 48.99611000000001)
Van Buren,Maine,108,US-Canada Border,3/1/2019 0:00,Truck Containers Full,833,POINT (-67.94271 47.16207)
Piegan,Montana,3316,US-Canada Border,3/1/2019 0:00,Personal Vehicles,3859,POINT (-113.43406 48.85152)
Alexandria Bay,New York,708,US-Canada Border,3/1/2019 0:00,Truck Containers Full,15106,POINT (-75.91806 44.33583)
San Ysidro,California,2504,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,1208832,POINT (-117.02666999999998 32.54306)
Douglas,Arizona,2601,US-Mexico Border,3/1/2019 0:00,Personal Vehicle Passengers,255070,POINT (-109.54472 31.344439999999995)
Ogdensburg,New York,701,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,40591,POINT (-75.48167 44.70667)
Fort Kent,Maine,110,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,11456,POINT (-68.58458 47.26878)
Douglas,Arizona,2601,US-Mexico Border,3/1/2019 0:00,Truck Containers Empty,536,POINT (-109.54472 31.344439999999995)
Pinecreek,Minnesota,3425,US-Canada Border,3/1/2019 0:00,Trucks,19,POINT (-95.81074 48.77518)
Baudette,Minnesota,3424,US-Canada Border,3/1/2019 0:00,Pedestrians,19,POINT (-94.72512 48.70731)
Raymond,Montana,3301,US-Canada Border,3/1/2019 0:00,Pedestrians,50,POINT (-104.575 48.99667)
Santa Teresa,New Mexico,2408,US-Mexico Border,3/1/2019 0:00,Buses,24,POINT (-106.67903 31.850000000000005)
Madawaska,Maine,109,US-Canada Border,3/1/2019 0:00,Pedestrians,38,POINT (-68.3271 47.35446)
Baudette,Minnesota,3424,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,20707,POINT (-94.72512 48.70731)
Opheim,Montana,3317,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,10,POINT (-106.40265 48.85574)
Morgan,Montana,3319,US-Canada Border,3/1/2019 0:00,Trucks,30,POINT (-107.85719 48.78541)
Willow Creek,Montana,3325,US-Canada Border,3/1/2019 0:00,Personal Vehicles,179,POINT (-109.67761 48.54863)
Calexico East,California,2507,US-Mexico Border,3/1/2019 0:00,Trains,17,POINT (-115.48433000000001 32.67524)
Del Bonita,Montana,3322,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,3206,POINT (-112.32481 48.63274)
Eastport,Idaho,3302,US-Canada Border,3/1/2019 0:00,Buses,2,POINT (-116.18027999999998 48.99944)
Roosville,Montana,3318,US-Canada Border,3/1/2019 0:00,Trucks,714,POINT (-115.04512000000001 48.88171)
Ogdensburg,New York,701,US-Canada Border,3/1/2019 0:00,Truck Containers Full,2672,POINT (-75.48167 44.70667)
International Falls-Ranier,Minnesota,3604,US-Canada Border,3/1/2019 0:00,Truck Containers Full,971,POINT (-93.41083 48.60111)
Andrade,California,2502,US-Mexico Border,3/1/2019 0:00,Personal Vehicle Passengers,98065,POINT (-114.63402 32.7394)
Porthill,Idaho,3308,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,16271,POINT (-116.49828 48.99282)
Houlton,Maine,106,US-Canada Border,3/1/2019 0:00,Pedestrians,29,POINT (-67.84083 46.12611)
Detroit,Michigan,3801,US-Canada Border,3/1/2019 0:00,Rail Containers Full,7374,POINT (-83.10222 42.38306000000001)
Baudette,Minnesota,3424,US-Canada Border,3/1/2019 0:00,Truck Containers Full,41,POINT (-94.72512 48.70731)
Ketchikan,Alaska,3102,US-Canada Border,3/1/2019 0:00,Pedestrians,14,POINT (-131.64031 55.33897)
Alexandria Bay,New York,708,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,1648,POINT (-75.91806 44.33583)
Columbus,New Mexico,2406,US-Mexico Border,3/1/2019 0:00,Truck Containers Full,311,POINT (-107.63944 31.827499999999997)
Eastport,Idaho,3302,US-Canada Border,3/1/2019 0:00,Personal Vehicles,4578,POINT (-116.18027999999998 48.99944)
International Falls-Ranier,Minnesota,3604,US-Canada Border,3/1/2019 0:00,Rail Containers Empty,18348,POINT (-93.41083 48.60111)
Alcan,Alaska,3104,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,392,POINT (-142.98928 63.33693)
Bridgewater,Maine,127,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,5962,POINT (-67.84262 46.41923)
San Luis,Arizona,2608,US-Mexico Border,3/1/2019 0:00,Bus Passengers,16,POINT (-114.78139000000002 32.48694)
Sault Sainte Marie,Michigan,3803,US-Canada Border,3/1/2019 0:00,Trucks,3578,POINT (-84.29889 46.47028)
Jackman,Maine,104,US-Canada Border,3/1/2019 0:00,Pedestrians,5,POINT (-70.255 45.62389)
San Luis,Arizona,2608,US-Mexico Border,3/1/2019 0:00,Truck Containers Empty,741,POINT (-114.78139000000002 32.48694)
Columbus,New Mexico,2406,US-Mexico Border,3/1/2019 0:00,Trucks,377,POINT (-107.63944 31.827499999999997)
Madawaska,Maine,109,US-Canada Border,3/1/2019 0:00,Truck Containers Full,31,POINT (-68.3271 47.35446)
Baudette,Minnesota,3424,US-Canada Border,3/1/2019 0:00,Personal Vehicles,11759,POINT (-94.72512 48.70731)
Port Huron,Michigan,3802,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,17392,POINT (-82.47889 42.97583)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Rail Containers Empty,235,POINT (-117.05333 32.57333)
Calexico East,California,2507,US-Mexico Border,3/1/2019 0:00,Rail Containers Empty,562,POINT (-115.48433000000001 32.67524)
Sweetgrass,Montana,3310,US-Canada Border,3/1/2019 0:00,Pedestrians,186,POINT (-111.95972 48.99611000000001)
Roosville,Montana,3318,US-Canada Border,3/1/2019 0:00,Personal Vehicles,9282,POINT (-115.04512000000001 48.88171)
Van Buren,Maine,108,US-Canada Border,3/1/2019 0:00,Trucks,1951,POINT (-67.94271 47.16207)
Massena,New York,704,US-Canada Border,3/1/2019 0:00,Bus Passengers,3289,POINT (-74.74 44.98944)
Dalton Cache,Alaska,3106,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,67,POINT (-135.40995 59.10606000000001)
Piegan,Montana,3316,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,29,POINT (-113.43406 48.85152)
Fort Kent,Maine,110,US-Canada Border,3/1/2019 0:00,Truck Containers Full,242,POINT (-68.58458 47.26878)
Buffalo-Niagara Falls,New York,901,US-Canada Border,3/1/2019 0:00,Personal Vehicles,357879,POINT (-79.05694 43.09444)
Calexico,California,2503,US-Mexico Border,3/1/2019 0:00,Personal Vehicle Passengers,751911,POINT (-115.49806000000001 32.67889)
San Luis,Arizona,2608,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,253230,POINT (-114.78139000000002 32.48694)
Roosville,Montana,3318,US-Canada Border,3/1/2019 0:00,Pedestrians,4,POINT (-115.04512000000001 48.88171)
Dalton Cache,Alaska,3106,US-Canada Border,3/1/2019 0:00,Truck Containers Full,10,POINT (-135.40995 59.10606000000001)
Buffalo-Niagara Falls,New York,901,US-Canada Border,3/1/2019 0:00,Rail Containers Empty,2754,POINT (-79.05694 43.09444)
Fort Kent,Maine,110,US-Canada Border,3/1/2019 0:00,Personal Vehicles,8072,POINT (-68.58458 47.26878)
Houlton,Maine,106,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,30798,POINT (-67.84083 46.12611)
Baudette,Minnesota,3424,US-Canada Border,3/1/2019 0:00,Trucks,530,POINT (-94.72512 48.70731)
San Luis,Arizona,2608,US-Mexico Border,3/1/2019 0:00,Buses,16,POINT (-114.78139000000002 32.48694)
Massena,New York,704,US-Canada Border,3/1/2019 0:00,Trucks,1978,POINT (-74.74 44.98944)
Champlain-Rouses Point,New York,712,US-Canada Border,3/1/2019 0:00,Rail Containers Empty,769,POINT (-73.44694 44.98639)
Warroad,Minnesota,3423,US-Canada Border,3/1/2019 0:00,Buses,39,POINT (-95.3261 48.89625)
Calais,Maine,115,US-Canada Border,3/1/2019 0:00,Trucks,4842,POINT (-67.27917 45.18889)
Vanceboro,Maine,105,US-Canada Border,3/1/2019 0:00,Rail Containers Empty,1017,POINT (-67.42955 45.55984)
Nogales,Arizona,2604,US-Mexico Border,3/1/2019 0:00,Rail Containers Empty,3021,POINT (-110.93361 31.340279999999996)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Bus Passengers,1832,POINT (-117.05333 32.57333)
Sweetgrass,Montana,3310,US-Canada Border,3/1/2019 0:00,Rail Containers Full,2821,POINT (-111.95972 48.99611000000001)
Lukeville,Arizona,2602,US-Mexico Border,3/1/2019 0:00,Personal Vehicle Passengers,123243,POINT (-112.81500000000001 31.8825)
Jackman,Maine,104,US-Canada Border,3/1/2019 0:00,Trucks,7117,POINT (-70.255 45.62389)
Detroit,Michigan,3801,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,44132,POINT (-83.10222 42.38306000000001)
Sweetgrass,Montana,3310,US-Canada Border,3/1/2019 0:00,Train Passengers,177,POINT (-111.95972 48.99611000000001)
